trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.35, 'e': 0.9995}",20,0,-128.0078923246859,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
2,False,"{'a': 0.35, 'e': 0.99875}",25,0,-170.6088116104425,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.35, 'e': 0.99775}",20,0,-109.57912047445687,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.35, 'e': 0.9965}",25,0,-136.51655714763695,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.35, 'e': 0.9950000000000001}",30,16,-87.26966411944701,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 2}",1
6,False,"{'a': 0.35, 'e': 0.9932500000000001}",20,0,-161.71145908581548,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
7,False,"{'a': 0.35, 'e': 0.9912500000000001}",20,0,-99.49240559375346,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.35, 'e': 0.9890000000000001}",25,0,-48.6973105495759,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
9,False,"{'a': 0.35, 'e': 0.9865000000000002}",20,0,-89.88526701516287,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.35, 'e': 0.9837500000000001}",25,0,-135.43051093394803,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.35, 'e': 0.9807500000000001}",20,0,-39.13364290215616,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.35, 'e': 0.9775000000000001}",25,0,-150.9410637427096,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.35, 'e': 0.9740000000000002}",20,0,-43.94808988564719,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.35, 'e': 0.9702500000000002}",20,0,-52.23968471922256,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
